state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size
MS,2020,39.7,38.1,41.3,6075.0
MO,2020,34.0,32.7,35.4,8439.0
MT,2020,28.5,27.1,30.0,5852.0
NE,2020,34.0,32.8,35.2,13601.0
NV,2020,28.7,26.2,31.3,2280.0
NH,2020,29.9,28.2,31.6,5596.0
NJ,2020,27.7,26.5,28.9,9392.0
NM,2020,30.9,29.0,32.8,6485.0
NY,2020,26.3,25.3,27.4,12583.0
NC,2020,33.6,32.0,35.2,5160.0
ND,2020,33.1,31.1,35.1,4076.0
OH,2020,35.5,34.3,36.7,13190.0
OK,2020,36.4,34.7,38.2,4530.0
OR,2020,28.1,26.6,29.6,4830.0
PA,2020,31.5,29.8,33.2,5025.0
RI,2020,30.1,28.2,32.1,4671.0
SC,2020,36.2,34.2,38.3,3704.0
SD,2020,33.2,30.7,35.8,6231.0
TN,2020,35.6,33.6,37.6,4152.0
TX,2020,35.8,33.9,37.7,9642.0
UT,2020,28.6,27.4,29.7,9881.0
VT,2020,26.3,24.6,27.9,5856.0
VA,2020,32.2,30.8,33.6,8568.0
WA,2020,28.0,27.0,29.1,11388.0
WV,2020,39.1,37.5,40.7,5467.0
WI,2020,32.3,30.4,34.2,4632.0
WY,2020,30.7,28.7,32.7,4410.0
AL,2021,39.9,37.9,41.8,4247.0
AK,2021,33.5,31.5,35.5,5012.0
AZ,2021,31.3,30.0,32.6,9679.0
AR,2021,38.7,36.6,40.8,4782.0
CA,2021,27.6,26.1,29.1,6148.0
CO,2021,25.1,24.1,26.2,9304.0
CT,2021,30.4,28.9,31.9,7074.0
DE,2021,33.9,31.8,36.1,3215.0
DC,2021,24.7,22.6,26.9,2822.0
FL,2021,,,,
GA,2021,33.9,32.2,35.6,7076.0
HI,2021,25.0,23.6,26.4,7314.0
ID,2021,31.6,30.2,33.0,6177.0
IL,2021,34.2,31.8,36.6,2814.0
IN,2021,36.3,35.1,37.5,8664.0
IA,2021,36.4,35.1,37.7,8637.0
KS,2021,36.0,35.1,37.0,15933.0
KY,2021,40.3,38.5,42.2,4986.0
LA,2021,38.6,36.7,40.6,4590.0
ME,2021,31.9,30.6,33.2,10794.0
MD,2021,34.3,33.2,35.5,13530.0
MA,2021,27.4,25.9,28.8,6686.0
MI,2021,34.4,33.1,35.7,8320.0
MN,2021,32.4,31.5,33.3,14380.0
MS,2021,39.1,37.1,41.1,4110.0
MO,2021,37.3,35.9,38.7,11225.0
MT,2021,31.8,30.3,33.3,5787.0
NE,2021,35.9,34.8,37.1,13699.0
NV,2021,31.3,28.7,34.1,2469.0
NH,2021,30.6,29.0,32.3,5657.0
NJ,2021,28.2,26.8,29.6,6665.0
NM,2021,34.6,32.9,36.3,5907.0
NY,2021,29.1,28.3,30.0,33121.0
NC,2021,36.0,34.2,37.9,4478.0
ND,2021,35.2,33.6,36.9,5386.0
OH,2021,37.8,36.6,39.0,12922.0
OK,2021,39.4,37.7,41.2,4952.0
OR,2021,30.4,28.9,31.9,4839.0
PA,2021,33.3,31.7,34.9,5752.0
RI,2021,30.1,28.4,31.8,4941.0
SC,2021,36.1,34.6,37.5,8806.0
SD,2021,38.4,35.6,41.4,6690.0
TN,2021,35.0,33.1,36.8,4349.0
TX,2021,36.1,34.4,37.8,9527.0
UT,2021,30.9,29.8,32.1,9495.0
VT,2021,29.0,27.4,30.7,5912.0
VA,2021,34.2,32.9,35.6,8823.0
WA,2021,28.8,27.7,29.9,11669.0
WV,2021,40.6,39.1,42.1,6261.0
WI,2021,33.9,32.1,35.7,5588.0
WY,2021,32.0,29.9,34.1,3990.0
AL,2022,38.3,36.3,40.3,4208.0
AK,2022,32.1,30.4,33.9,5273.0
AZ,2022,33.2,31.6,34.9,9180.0
AR,2022,37.4,35.6,39.2,4652.0
CA,2022,28.1,26.8,29.4,9466.0
CO,2022,25.0,23.9,26.2,8388.0
CT,2022,30.6,29.1,32.1,8212.0
DE,2022,37.9,35.6,40.2,3550.0
DC,2022,24.3,22.2,26.5,2882.0
FL,2022,31.6,29.9,33.4,11805.0
GA,2022,37.0,35.4,38.7,8018.0
HI,2022,25.9,24.4,27.4,7280.0
ID,2022,33.2,31.7,34.7,5697.0
IL,2022,33.4,31.5,35.3,3730.0
IN,2022,37.7,36.4,38.9,8834.0
IA,2022,37.4,36.0,38.8,8114.0
KS,2022,35.7,34.4,37.0,10179.0
KY,2022,37.7,35.6,39.9,3680.0
LA,2022,40.1,38.3,41.9,5117.0
ME,2022,33.1,31.8,34.5,9780.0
MD,2022,33.2,31.9,34.4,14263.0
MA,2022,27.2,26.0,28.5,9701.0
MI,2022,34.5,33.2,35.8,8750.0
MN,2022,33.6,32.6,34.7,15208.0
MS,2022,39.5,37.5,41.4,3935.0
MO,2022,36.4,34.9,38.0,6846.0
MT,2022,30.5,29.1,32.0,6532.0
NE,2022,35.3,33.7,36.9,6853.0
NV,2022,33.5,31.0,36.2,2906.0
NH,2022,30.2,28.6,32.0,5928.0
NJ,2022,29.1,27.6,30.7,6760.0
NM,2022,32.4,30.5,34.4,4445.0
