state,year,income_pc_nominal,income_pc_real,unemployment_rate
ME,2013,39950.0,53794.75357585535,6.683333333333334
ME,2014,41137.0,54508.85565365664,5.575
ME,2015,42939.0,56829.19290388452,4.391666666666667
ME,2016,44234.0,57813.73967444028,3.7916666666666665
ME,2017,45905.0,58746.37064222054,3.375
ME,2018,47729.0,59624.24091538727,3.1750000000000003
ME,2019,49983.0,61328.590271030014,2.9
ME,2020,54331.0,65851.20813501735,5.116666666666667
ME,2021,59381.0,68742.56854193748,4.616666666666666
ME,2022,61587.0,66013.42768658992,2.8333333333333335
ME,2023,65337.0,67264.1312830942,2.6333333333333333
ME,2024,68764.0,68764.0,2.9916666666666667
MD,2011,51797.0,72233.48757330686,7.283333333333334
MD,2012,52481.0,71703.57081397698,6.866666666666667
MD,2013,51871.0,69847.00031872823,6.566666666666666
MD,2014,53075.0,70327.38201176134,5.733333333333333
MD,2015,55032.0,72834.11686081588,5.033333333333333
MD,2016,56606.0,73983.91617333649,4.25
MD,2017,58245.0,74538.33695798139,4.066666666666666
MD,2018,59915.0,74847.29188638832,3.8083333333333336
MD,2019,61723.0,75733.44091588711,3.3833333333333333
MD,2020,64863.0,78616.38683737886,6.516666666666667
MD,2021,69268.0,80188.27971510963,5.2
MD,2022,70886.0,75980.7724843167,3.0
MD,2023,75624.0,77854.54894091733,2.216666666666667
MD,2024,79486.0,79486.0,3.1666666666666665
MA,2011,54757.0,76361.35450029082,7.233333333333333
MA,2012,56259.0,76865.36442566893,6.7
MA,2013,56119.0,75567.15333976036,6.658333333333334
MA,2014,58129.0,77024.21835066745,5.758333333333333
MA,2015,61536.0,81442.07397781592,4.8
MA,2016,63476.0,82962.990902355,4.016666666666667
MA,2017,66069.0,84551.00668687222,3.8333333333333335
MA,2018,69191.0,86435.0992724876,3.4583333333333335
MA,2019,72381.0,88810.68948257255,3.0500000000000003
MA,2020,77596.0,94049.26002548833,9.341666666666667
MA,2021,84132.0,97395.62783668654,5.316666666666666
MA,2022,85405.0,91543.29309063945,3.641666666666667
MA,2023,89860.0,92510.44334908007,3.466666666666667
MA,2024,93575.0,93575.0,3.983333333333333
MI,2011,37689.0,52559.1812875333,10.141666666666667
MI,2012,39042.0,53342.17739218554,9.066666666666666
MI,2013,39292.0,52908.72234048832,8.733333333333333
MI,2014,40829.0,54100.7382036402,7.2250000000000005
MI,2015,42982.0,56886.102829473544,5.416666666666667
MI,2016,44080.0,57612.46201675922,4.991666666666666
MI,2017,45264.0,57926.05861560768,4.583333333333333
MI,2018,47089.0,58824.7371716288,4.166666666666667
MI,2019,48577.0,59603.44376279585,4.075
MI,2020,52820.0,64019.81950804543,10.075000000000001
MI,2021,57084.0,66083.44053902694,5.691666666666666
MI,2022,58052.0,62224.357479044564,4.1499999999999995
MI,2023,61335.0,63144.091284396025,3.9
MI,2024,63945.0,63945.0,4.683333333333334
MN,2011,45134.0,62941.603338680456,6.575
MN,2012,47399.0,64760.15230296098,5.658333333333334
MN,2013,47413.0,63844.071371515136,5.041666666666667
MN,2014,49357.0,65400.821365134325,4.241666666666666
MN,2015,51353.0,67965.00950635044,3.7583333333333333
MN,2016,51982.0,67940.35845179623,3.8666666666666667
MN,2017,53826.0,68883.17495236169,3.4416666666666664
MN,2018,56201.0,70207.67172338997,3.025
MN,2019,57903.0,71046.34300589102,3.275
MN,2020,61372.0,74385.1640069626,6.291666666666667
MN,2021,67730.0,78407.81002922526,3.6833333333333336
MN,2022,69467.0,74459.78503749722,2.4166666666666665
MN,2023,72674.0,74817.53794737419,2.7916666666666665
MN,2024,75548.0,75548.0,3.1333333333333333
MS,2011,32454.0,45258.71393524916,9.8
MS,2012,33441.0,45689.661241024456,8.825000000000001
MS,2013,33976.0,45750.45175202156,8.491666666666665
MS,2014,34623.0,45877.436597140135,7.6000000000000005
MS,2015,35100.0,46454.38112034157,6.45
MS,2016,35638.0,46578.78678206137,5.991666666666667
MS,2017,36579.0,46811.53451087649,5.208333333333333
MS,2018,37624.0,47000.82633620086,4.941666666666667
MS,2019,39142.0,48026.80272069817,5.491666666666667
MS,2020,42464.0,51467.95940154565,8.0
MS,2021,47035.0,54450.18964601521,5.408333333333334
MS,2022,46995.0,50372.66036876765,3.733333333333333
MS,2023,49673.0,51138.11765500617,3.1166666666666667
MS,2024,51948.0,51948.0,3.1750000000000003
MO,2011,38402.0,53553.49517906693,8.575000000000001
MO,2012,39983.0,54627.843826437034,7.141666666666667
MO,2013,40121.0,54025.013972888424,6.758333333333333
MO,2014,41380.0,54830.84442103974,6.166666666666667
MO,2015,42677.0,56482.43940378397,5.1000000000000005
MO,2016,43826.0,57280.4845813632,4.575
MO,2017,44781.0,57307.94518525821,3.7916666666666665
MO,2018,46680.0,58313.80431038316,3.233333333333333
MO,2019,48425.0,59416.94143758134,3.233333333333333
MO,2020,52204.0,63273.204422529416,6.216666666666666
MO,2021,56896.0,65865.8018518057,4.116666666666666
MO,2022,58527.0,62733.49704017159,2.6333333333333333
MO,2023,62456.0,64298.15546194241,3.1166666666666667
MO,2024,64940.0,64940.0,3.6999999999999997
MT,2011,38150.0,53202.068670418295,6.625
MT,2012,40217.0,54947.5525890458,5.783333333333334
MT,2013,40142.0,54053.291565506515,5.3
MT,2014,41850.0,55453.62104931158,4.641666666666667
MT,2015,43095.0,57035.65681997493,4.241666666666666
MT,2016,43301.0,56594.310748359596,4.266666666666667
MT,2017,45369.0,58060.43110046627,4.1
MT,2018,47208.0,58973.3948989839,3.725
MT,2019,49654.0,60924.91089605915,3.5
MT,2020,53572.0,64931.27169036369,5.825
MT,2021,59236.0,68574.70891615514,3.3833333333333333
MT,2022,62117.0,66581.52024953165,2.6583333333333337
MT,2023,66221.0,68174.2050859051,2.733333333333333
MT,2024,69220.0,69220.0,3.0
NE,2011,45607.0,63601.225317215394,4.366666666666666
NE,2012,46385.0,63374.74766498966,3.9166666666666665
NE,2013,45911.0,61821.550223306505,3.716666666666667
NE,2014,48187.0,63850.50507773422,3.233333333333333
NE,2015,49708.0,65787.87398090994,2.975
NE,2016,48688.0,63635.107773865086,3.108333333333334
NE,2017,49533.0,63389.259928572275,2.9583333333333335
NE,2018,51436.0,64255.116506188264,2.908333333333333
NE,2019,53513.0,65659.86137634053,3.1166666666666667
NE,2020,56911.0,68978.26482435392,4.266666666666667
NE,2021,63652.0,73686.902760671,2.658333333333333
NE,2022,66354.0,71123.04513478473,2.158333333333333
NE,2023,71506.0,73615.08749298153,2.3000000000000003
NE,2024,72696.0,72696.0,2.716666666666667
NV,2011,38595.0,53822.64325910339,12.983333333333334
NV,2012,39680.0,54213.86196716158,11.533333333333333
NV,2013,39331.0,52961.237869636214,9.966666666666667
NV,2014,41126.0,54494.28003044177,8.200000000000001
NV,2015,43799.0,57967.39141566497,6.866666666666667
NV,2016,44715.0,58442.40560524929,5.833333333333333
NV,2017,46991.0,60136.166057043585,5.008333333333334
NV,2018,49289.0,61573.031290798535,4.408333333333333
NV,2019,51942.0,63732.2616861301,4.108333333333333
NV,2020,54686.0,66281.48143917025,13.674999999999999
NV,2021,61024.0,70644.5917499401,6.841666666666666
NV,2022,62696.0,67202.1345777265,5.2250000000000005
NV,2023,66767.0,68736.30949352359,5.116666666666666
NV,2024,70104.0,70104.0,5.391666666666667
NH,2011,49086.0,68452.86350605905,5.491666666666667
NH,2012,50715.0,69290.72605001512,5.4750000000000005
NH,2013,50423.0,67897.19298010899,5.25
NH,2014,51988.0,68887.04542680073,4.316666666666666
NH,2015,54161.0,71681.35999597776,3.391666666666667
NH,2016,55677.0,72769.71523836441,2.891666666666666
NH,2017,57878.0,74068.67312995187,2.808333333333333
NH,2018,60335.0,75371.96621822982,2.6333333333333333
NH,2019,63946.0,78461.03742214924,2.5500000000000003
NH,2020,67564.0,81890.10006137035,6.75
NH,2021,73970.0,85631.56220082376,3.4583333333333335
NH,2022,75331.0,80745.24690370541,2.425
NH,2023,79305.0,81644.12096370794,2.2666666666666666
NH,2024,83222.0,83222.0,2.5833333333333335
NJ,2011,52854.0,73707.52654013863,9.4
NJ,2012,54235.0,74100.02025677945,9.450000000000001
NJ,2013,54365.0,73205.30108013457,8.416666666666666
NJ,2014,56367.0,74689.468522976,6.683333333333334
NJ,2015,58408.0,77302.20776287494,5.691666666666666
NJ,2016,59776.0,78127.09912690107,4.933333333333334
NJ,2017,61704.0,78964.95053060836,4.516666666666667
NJ,2018,64198.0,80197.72084657195,4.016666666666667
NJ,2019,67518.0,82843.84206469008,3.4583333333333335
NJ,2020,70462.0,85402.58466822979,9.483333333333333
NJ,2021,76340.0,88375.19884292125,6.7
NJ,2022,77416.0,82980.10160886298,3.8666666666666667
NJ,2023,81448.0,83850.32928884792,4.3
NJ,2024,84844.0,84844.0,4.641666666666667
NM,2011,35069.0,48905.46123729749,7.216666666666666
NM,2012,35694.0,48767.88278870629,6.95
NM,2013,34857.0,46936.76408995219,6.8999999999999995
NM,2014,36880.0,48868.08946950086,6.558333333333334
NM,2015,37752.0,49964.267693878486,6.608333333333333
NM,2016,38474.0,50285.43247805795,6.783333333333334
NM,2017,39196.0,50160.60872873274,6.116666666666667
NM,2018,40976.0,51188.22719413583,4.933333333333334
NM,2019,43223.0,53034.14475491128,4.966666666666667
NM,2020,46560.0,56432.464905236564,7.925
NM,2021,50855.0,58872.42254593608,7.083333333333333
NM,2022,53141.0,56960.390353371244,4.066666666666666
NM,2023,55505.0,57142.133964953144,3.658333333333333
NM,2024,58345.0,58345.0,4.091666666666667
NY,2011,50772.0,70804.0741948749,8.358333333333333
NY,2012,52625.0,71900.31466789008,8.65
NY,2013,52874.0,71197.5920042497,7.816666666666666
NY,2014,54496.0,72210.28751979173,6.291666666666667
NY,2015,56608.0,74919.93180798563,5.216666666666667
NY,2016,58400.0,76328.67018554307,4.875
NY,2017,62206.0,79607.37898202747,4.641666666666667
NY,2018,64229.0,80236.44680916025,4.1000000000000005
NY,2019,66460.0,81545.6877220786,3.891666666666667
NY,2020,70352.0,85269.26054581621,9.908333333333333
NY,2021,76410.0,88456.23452433341,7.05
