state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size,diabetes_pct,diabetes_ci_low,diabetes_ci_high,glp1_prescriptions,n_cells,n_suppressed_cells,pct_cells_suppressed,medicaid_enrollment,population,pct_65plus,income_pc_nominal,income_pc_real,unemployment_rate,glp1_per_1000_enrollees,glp1_per_1000_pop,log_income_pc,log_population
NC,2016,31.8,30.4,33.3,5984.0,11.3,10.4,12.2,16954.0,49.0,8.0,16.3265306122449,1927274.0,10161802,15.61427539398217,42596.0,55672.87731546905,5.1,8.796880983191803,1.668404875434495,10.927248365048836,16.13414634659252
NC,2017,32.1,30.4,34.0,4483.0,11.4,10.3,12.5,22350.0,42.0,2.0,4.761904761904762,1977054.0,10275758,16.0013628443312,44219.0,56588.73245677705,4.55,11.304698809440714,2.1750220275720777,10.943565171171755,16.145298086915144
NC,2018,33.0,31.2,34.8,4294.0,12.5,11.4,13.7,26787.0,59.0,11.0,18.64406779661017,2019601.0,10391358,16.412565872871465,46048.0,57524.29436342167,4.008333333333334,13.263510960828402,2.577815142159475,10.959962648221145,16.15648505713322
NC,2019,34.0,32.2,35.8,3871.0,11.8,10.8,12.9,34914.0,61.0,17.0,27.868852459016395,2009420.0,10501384,16.842374797684062,48374.0,59354.36499951595,3.875,17.375162982353118,3.3247046294088474,10.991280944081758,16.16701761596545
NC,2020,33.6,32.0,35.2,5160.0,12.4,11.3,13.4,42283.0,69.0,21.0,30.434782608695652,2084773.0,10449652,16.719748640275906,51814.0,62800.50980669947,7.325,20.28182444803343,4.046354845118287,11.047718470364414,16.162079234385182
NC,2021,36.0,34.2,37.9,4478.0,12.7,11.6,13.9,57145.0,131.0,31.0,23.66412213740458,2338487.0,10564320,17.012041732792603,57227.0,66248.98485962607,4.841666666666667,24.436740507858286,5.409245460190528,11.101175420857503,16.17299284349661
NC,2022,34.1,32.1,36.1,4035.0,12.1,10.9,13.5,80720.0,215.0,75.0,34.883720930232556,2554120.0,10710793,17.362685468905624,59120.0,63369.11758701018,3.675,31.60384007016115,7.536323407613237,11.056731917445642,16.1867624826334
NC,2023,34.0,31.9,36.2,3722.0,12.4,11.0,13.8,126704.0,272.0,107.0,39.338235294117645,,10881189,17.701453043098798,62287.0,64124.17076434621,3.475,,11.644315708513105,11.0685766508393,16.202546076509343
NC,2024,34.5,32.7,36.3,3902.0,13.2,12.0,14.5,215064.0,271.0,86.0,31.73431734317343,,11046024,18.028122888687445,65598.0,65598.0,3.641666666666667,,19.469811037890196,11.09130048666254,16.21758110217312
ND,2011,27.8,26.3,29.4,4982.0,8.3,7.5,9.1,225.0,18.0,7.0,38.888888888888886,,685526,14.513359636491726,48873.0,68155.8244332727,3.341666666666667,,0.32821512240235967,11.129551898377716,13.437941705784567
